CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalItems,AvgItemsPerOrder,OrderValueStd,MaxOrderValue,MinOrderValue,Tenure,PurchaseFreqPerDay,Will_Purchase_Again,Cluster,Segment
13085.0,314,6,2017.2,336.2,728,121.33333333333333,161.64629287428772,505.3,145.79999999999998,373,0.1016949152542373,0,0,Low Engagement
13078.0,1,32,16904.510000000002,528.2659375000001,6553,204.78125,192.2597187586554,1003.61,102.0,373,0.08602150537634409,1,2,High Value
15362.0,83,2,613.08,306.54,368,184.0,5.953839097590722,310.75,302.33,373,0.006896551724137931,1,1,At Risk
18102.0,0,87,323860.53,3722.534827586207,110464,1269.7011494252874,4838.280243748893,22863.36,6.8,373,0.23324396782841822,1,2,High Value
12682.0,0,23,11745.69,510.6821739130435,5443,236.65217391304347,247.60545553096293,1119.16,18.0,373,0.06166219839142091,1,2,High Value
18087.0,14,15,10705.8,713.7199999999999,3868,257.8666666666667,1420.1739696248485,5737.32,50.4,373,0.04178272980501393,1,2,High Value
13635.0,77,3,1928.1299999999999,642.7099999999999,1207,402.3333333333333,423.1646212764011,1130.98,382.37,373,0.010135135135135136,1,0,Low Engagement
14110.0,70,21,7304.8,347.84761904761905,3380,160.95238095238096,142.71348947821164,797.14,63.5,373,0.06930693069306931,0,2,High Value
17519.0,3,10,3185.5,318.55,2177,217.7,42.38597671662436,410.4,242.4,373,0.02702702702702703,1,2,High Value
13758.0,1,9,6123.59,680.3988888888889,3223,358.1111111111111,257.1544014519509,1025.87,356.4,373,0.024193548387096774,1,2,High Value
15413.0,326,5,6798.72,1359.7440000000001,2694,538.8,753.9133175836597,2442.7200000000003,570.24,373,0.10638297872340426,0,0,Low Engagement
16321.0,261,2,230.9,115.45,124,62.0,114.05632380539014,196.10000000000002,34.8,373,0.017857142857142856,0,1,At Risk
16167.0,49,5,1386.1200000000001,277.22400000000005,1494,298.8,181.5008341027666,485.79,35.6,373,0.015432098765432098,1,0,Low Engagement
17865.0,10,26,15848.07,609.5411538461539,7228,278.0,442.67744366594445,1563.65,11.9,373,0.0718232044198895,1,2,High Value
17592.0,373,1,148.3,148.3,38,38.0,0.0,148.3,148.3,373,1.0,0,1,At Risk
13767.0,4,39,18320.170000000002,469.74794871794876,7913,202.89743589743588,272.22890329724055,1351.8000000000002,13.919999999999998,373,0.10569105691056911,1,2,High Value
17238.0,6,17,4038.45,237.55588235294115,1898,111.6470588235294,145.7481765777373,594.01,3.4,373,0.04632152588555858,1,2,High Value
15712.0,14,7,2400.05,342.86428571428576,791,113.0,138.7518249558233,635.85,247.65,373,0.019498607242339833,1,2,High Value
15311.0,0,121,55871.26,461.74595041322317,31616,261.2892561983471,498.58619794972674,3019.35,5.0,373,0.32439678284182305,1,2,High Value
16329.0,62,4,1703.07,425.7675,826,206.5,114.11859894425623,554.62,282.46000000000004,373,0.012861736334405145,1,0,Low Engagement
17700.0,16,10,4020.33,402.033,2202,220.2,184.22732244280283,696.73,17.700000000000003,373,0.028011204481792718,1,2,High Value
14911.0,0,186,140180.79,753.6601612903227,69637,374.39247311827955,710.9708945625754,4623.34,15.0,373,0.49865951742627346,1,2,High Value
15998.0,28,11,5218.37,474.3972727272727,3331,302.8181818181818,217.53587511446972,725.31,10.14,373,0.03188405797101449,1,2,High Value
12533.0,262,2,1367.89,683.945,704,352.0,347.861181004722,929.92,437.96999999999997,373,0.01818181818181818,0,0,Low Engagement
17984.0,27,4,1038.59,259.6475,875,218.75,154.43089983873045,474.33,106.05,373,0.011560693641618497,1,0,Low Engagement
14871.0,128,5,736.59,147.318,269,53.8,17.56450027754846,174.65,125.8,373,0.02040816326530612,1,0,Low Engagement
13394.0,14,11,4101.68,372.88000000000005,2962,269.27272727272725,113.48538742939552,699.83,288.5,373,0.03064066852367688,1,2,High Value
16011.0,1,14,2517.75,179.83928571428572,1429,102.07142857142857,48.26009188430248,260.29,111.15,373,0.03763440860215054,1,2,High Value
16393.0,4,11,2515.45,228.6772727272727,1556,141.45454545454547,100.03750437619972,416.84999999999997,140.54,373,0.02981029810298103,1,2,High Value
14040.0,21,23,9030.65,392.63695652173914,3490,151.7391304347826,233.30355677518625,944.0799999999999,6.75,373,0.06534090909090909,1,2,High Value
